2019-04-14 16:32:28.490959|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:191) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491079|INFO    |VirtualServer |1  |permission 'i_client_needed_serverquery_view_power'(id:194) with values (value:75, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491198|INFO    |VirtualServer |1  |permission 'i_client_needed_complain_power'(id:205) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491318|INFO    |VirtualServer |1  |permission 'b_channel_join_permanent'(id:131) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491437|INFO    |VirtualServer |1  |permission 'b_channel_join_semi_permanent'(id:132) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491552|INFO    |VirtualServer |1  |permission 'b_channel_join_temporary'(id:133) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491665|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:136) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491777|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:140) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.491890|INFO    |VirtualServer |1  |permission 'i_client_needed_ban_power'(id:201) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.492003|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_server_power'(id:197) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.492115|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_channel_power'(id:199) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.493183|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:164) with values (value:60, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.493803|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:166) with values (value:60, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.493987|INFO    |VirtualServer |1  |permission 'b_virtualserver_connectioninfo_view'(id:23) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.494175|INFO    |VirtualServer |1  |permission 'i_channel_modify_power'(id:121) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.494352|INFO    |VirtualServer |1  |permission 'i_client_needed_move_power'(id:203) with values (value:50, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.494533|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:83) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.494711|INFO    |VirtualServer |1  |permission 'b_channel_create_semi_permanent'(id:85) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.494921|INFO    |VirtualServer |1  |permission 'b_channel_create_temporary'(id:86) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.495111|INFO    |VirtualServer |1  |permission 'b_channel_create_with_topic'(id:87) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.495295|INFO    |VirtualServer |1  |permission 'b_channel_create_with_description'(id:88) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.495479|INFO    |VirtualServer |1  |permission 'b_channel_create_with_password'(id:89) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.495659|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex8'(id:90) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.495839|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex16'(id:91) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.496015|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_speex32'(id:92) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.496196|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_latency_factor_min'(id:97) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
2019-04-14 16:32:28.496378|INFO    |VirtualServer |1  |permission 'b_channel_create_with_maxclients'(id:98) with values (value:1, negated:0, skipchannel:0) was added by 'J. Downs'(id:2) to servergroup '[Cpt]'(id:10)
